scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.036322,2025-10-16T12:21:21.277478+00:00
A2_unsubscribed_no_update,1,True,-2731.277478,2025-10-16T12:21:22.610881+00:00
A1_reactive_update,2,True,0.009782,2025-10-16T12:21:23.663932+00:00
A2_unsubscribed_no_update,2,True,-2733.663932,2025-10-16T12:21:25.011927+00:00
A1_reactive_update,3,True,0.010909,2025-10-16T12:21:28.465728+00:00
A2_unsubscribed_no_update,3,True,-2738.465728,2025-10-16T12:21:29.865353+00:00
A1_reactive_update,4,True,0.01217,2025-10-16T12:21:30.928989+00:00
A2_unsubscribed_no_update,4,True,-2740.928989,2025-10-16T12:21:32.255843+00:00
A1_reactive_update,5,True,0.009812,2025-10-16T12:21:33.304839+00:00
A2_unsubscribed_no_update,5,True,-2743.304839,2025-10-16T12:21:34.670354+00:00
A3_derived_property_propagation,1,True,0.073932,2025-10-16T12:21:36.961112+00:00
A3_derived_property_propagation,2,True,0.304964,2025-10-16T12:21:39.422453+00:00
A3_derived_property_propagation,3,True,0.041471,2025-10-16T12:21:41.902827+00:00
A3_derived_property_propagation,4,True,0.090576,2025-10-16T12:21:44.131004+00:00
A3_derived_property_propagation,5,True,0.097098,2025-10-16T12:21:46.259444+00:00
