scenario,iteration,match,latency,timestamp
A1_reactive_update,1,True,0.013781,2025-10-15T12:23:28.521777
A2_unsubscribed_no_update,1,True,-3.072588,2025-10-15T12:23:31.593504
A1_reactive_update,1,True,0.013762,2025-10-15T12:23:32.643047
A2_unsubscribed_no_update,1,True,-3.054311,2025-10-15T12:23:35.712154
A1_reactive_update,1,True,0.011115,2025-10-15T12:23:36.769116
A2_unsubscribed_no_update,1,True,-3.039076,2025-10-15T12:23:39.815148
A1_reactive_update,1,True,0.011206,2025-10-15T12:23:40.851228
A2_unsubscribed_no_update,1,True,-3.02994,2025-10-15T12:23:43.899257
A1_reactive_update,1,True,0.042698,2025-10-15T12:23:44.971384
A2_unsubscribed_no_update,1,True,-3.0384,2025-10-15T12:23:48.049965
A3_derived_property_propagation,1,True,0.0,2025-10-15T12:23:50.180326
A3_derived_property_propagation,1,True,0.0,2025-10-15T12:23:52.285211
A3_derived_property_propagation,1,True,0.0,2025-10-15T12:23:54.391699
A3_derived_property_propagation,1,True,0.0,2025-10-15T12:23:56.519132
A3_derived_property_propagation,1,True,0.0,2025-10-15T12:23:58.631885
